X,Y,Depth,PERMX,PERMY,PERMZ,PORO,Transmissibility
552292.0,6798283.88,-8197.92,8.4462,8.4462,0.37995999999999996,0.1156,1
552720.14,6798277.25,-8191.53,113.28387,113.28387,3.3061699999999994,0.1783,1
553148.33,6798270.75,-8186.99,98.73318,98.73318,2.94826,0.175,1
553576.81,6798264.63,-8184.66,281.29177999999996,281.29177999999996,7.05474,0.2002,1
554005.8,6798259.13,-8182.89,557.9879199999999,557.9879199999999,12.4845,0.2168,1
554435.41,6798254.13,-8185.29,3.44848,3.44848,0.18010999999999996,0.094,1
554865.73,6798249.75,-8190.42,7.299529999999999,7.299529999999999,0.33649,0.1121,1
555296.92,6798246.38,-8195.59,5.36802,5.36802,0.26039999999999996,0.1047,1
555729.08,6798244.13,-8206.91,105.89214999999999,105.89214999999999,3.12536,0.1767,1
556162.25,6798242.75,-8223.83,293.93476,293.93476,7.318009999999999,0.2013,1
556596.48,6798242.38,-8240.85,131.75995,131.75995,3.7497599999999998,0.1819,1
557031.84,6798243.13,-8257.6,0.32977,0.32977,0.02548,0.0374,1
551017.77,6798754.75,-8199.52,5.5691299999999995,5.5691299999999995,0.26852,0.1056,0
551444.72,6798747.63,-8178.79,86.00599,86.00599,2.62801,0.1716,1
551872.02,6798740.38,-8158.26,349.16364,349.16364,8.447109999999999,0.2054,1
552299.33,6798733.0,-8142.98,444.37231999999995,444.37231999999995,10.32696,0.2113,1
552726.53,6798725.63,-8130.86,71.10341,71.10341,2.24266,0.167,1
553153.88,6798718.38,-8119.8,91.9849,91.9849,2.77935,0.1733,1
553581.64,6798711.5,-8114.71,763.3773,763.3773,16.2106,0.2243,1
554010.0,6798705.25,-8114.15,496.84873,496.84873,11.33363,0.214,1
554439.0,6798699.63,-8113.97,8.75854,8.75854,0.39165,0.1165,1
554868.67,6798694.63,-8120.9,98.85637999999999,98.85637999999999,2.9513399999999996,0.175,1
555299.14,6798690.5,-8135.23,102.53999,102.53999,3.04269,0.1759,1
555730.53,6798687.5,-8152.42,375.82293,375.82293,8.981209999999999,0.2072,1
556162.89,6798685.38,-8169.34,560.90062,560.90062,12.53875,0.2169,1
556596.28,6798684.38,-8186.64,584.6701,584.6701,12.98003,0.2179,1
557030.78,6798684.63,-8206.69,256.97979999999995,256.97979999999995,6.5428299999999995,0.198,1
557466.42,6798685.88,-8227.16,92.18391,92.18391,2.7843899999999997,0.1733,1
557903.22,6798688.25,-8249.61,437.14202,437.14202,10.18675,0.2109,1
558341.14,6798691.88,-8271.9,134.75468999999998,134.75468999999998,3.82067,0.1825,1
558780.0,6798696.5,-8291.84,480.09114999999997,480.09114999999997,11.01422,0.2131,1
559219.48,6798702.0,-8309.65,184.11581999999999,184.11581999999999,4.955579999999999,0.19,1
550116.27,6799200.5,-8527.77,202.12612,202.12612,5.35633,0.1923,0
550574.11,6799205.38,-8494.37,2.7545699999999997,2.7545699999999997,0.14937999999999999,0.0886,1
551020.25,6799204.63,-8152.31,147.11844,147.11844,4.110609999999999,0.1846,0
551451.75,6799197.88,-8130.46,5.71207,5.71207,0.27425999999999995,0.1062,0
551878.75,6799190.0,-8105.6,244.25856,244.25856,6.271789999999999,0.1968,1
552305.13,6799181.88,-8083.85,284.95572,284.95572,7.13125,0.2005,1
552731.47,6799173.75,-8068.03,358.95188,358.95188,8.643949999999998,0.2061,1
553158.23,6799165.88,-8053.24,580.22146,580.22146,12.897639999999999,0.2177,1
553585.56,6799158.38,-8045.66,174.47857,174.47857,4.73844,0.1887,1
554013.5,6799151.38,-8045.38,457.29677,457.29677,10.576649999999999,0.212,1
554442.03,6799145.0,-8042.9,132.57482,132.57482,3.7690799999999998,0.1821,1
